EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), APRIL 2010
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://eca.knmi.nl

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 SD   : daily snow depth in 1 cm
23-27 Q_SD : quality code for SD (0='valid'; 1='suspect'; 9='missing')

This is the series of NETHERLANDS, PUTTEN (GLD) (source-ID: 101992)
See file source.txt for more info.



 SOUID,    DATE,   SD, Q_SD
101992,19010720,-9999,    9
101992,19010721,-9999,    9
101992,19010722,-9999,    9
101992,19010723,-9999,    9
101992,19010724,-9999,    9
101992,19010725,-9999,    9
101992,19010726,-9999,    9
101992,19010727,-9999,    9
101992,19010728,-9999,    9
101992,19010729,-9999,    9
101992,19010730,-9999,    9
101992,19010731,-9999,    9
101992,19010801,-9999,    9
101992,19010802,-9999,    9
101992,19010803,-9999,    9
101992,19010804,-9999,    9
101992,19010805,-9999,    9
101992,19010806,-9999,    9
101992,19010807,-9999,    9
101992,19010808,-9999,    9
101992,19010809,-9999,    9
101992,19010810,-9999,    9
101992,19010811,-9999,    9
101992,19010812,-9999,    9
101992,19010813,-9999,    9
101992,19010814,-9999,    9
101992,19010815,-9999,    9
101992,19010816,-9999,    9
101992,19010817,-9999,    9
101992,19010818,-9999,    9
101992,19010819,-9999,    9
101992,19010820,-9999,    9
101992,19010821,-9999,    9
101992,19010822,-9999,    9
101992,19010823,-9999,    9
101992,19010824,-9999,    9
101992,19010825,-9999,    9
101992,19010826,-9999,    9
101992,19010827,-9999,    9
101992,19010828,-9999,    9
101992,19010829,-9999,    9
101992,19010830,-9999,    9
101992,19010831,-9999,    9
101992,19010901,-9999,    9
101992,19010902,-9999,    9
101992,19010903,-9999,    9
101992,19010904,-9999,    9
101992,19010905,-9999,    9
101992,19010906,-9999,    9
101992,19010907,-9999,    9
101992,19010908,-9999,    9
101992,19010909,-9999,    9
101992,19010910,-9999,    9
101992,19010911,-9999,    9
101992,19010912,-9999,    9
101992,19010913,-9999,    9
101992,19010914,-9999,    9
101992,19010915,-9999,    9
101992,19010916,-9999,    9
101992,19010917,-9999,    9
101992,19010918,-9999,    9
101992,19010919,-9999,    9
101992,19010920,-9999,    9
101992,19010921,-9999,    9
101992,19010922,-9999,    9
101992,19010923,-9999,    9
101992,19010924,-9999,    9
101992,19010925,-9999,    9
101992,19010926,-9999,    9
101992,19010927,-9999,    9
101992,19010928,-9999,    9
101992,19010929,-9999,    9
101992,19010930,-9999,    9
101992,19011001,-9999,    9
101992,19011002,-9999,    9
101992,19011003,-9999,    9
101992,19011004,-9999,    9
101992,19011005,-9999,    9
101992,19011006,-9999,    9
101992,19011007,-9999,    9
101992,19011008,-9999,    9
101992,19011009,-9999,    9
101992,19011010,-9999,    9
101992,19011011,-9999,    9
101992,19011012,-9999,    9
101992,19011013,-9999,    9
101992,19011014,-9999,    9
101992,19011015,-9999,    9
101992,19011016,-9999,    9
101992,19011017,-9999,    9
101992,19011018,-9999,    9
101992,19011019,-9999,    9
101992,19011020,-9999,    9
101992,19011021,-9999,    9
101992,19011022,-9999,    9
101992,19011023,-9999,    9
101992,19011024,-9999,    9
101992,19011025,-9999,    9
101992,19011026,-9999,    9
101992,19011027,-9999,    9
101992,19011028,-9999,    9
101992,19011029,-9999,    9
101992,19011030,-9999,    9
101992,19011031,-9999,    9
101992,19011101,-9999,    9
101992,19011102,-9999,    9
101992,19011103,-9999,    9
101992,19011104,-9999,    9
101992,19011105,-9999,    9
101992,19011106,-9999,    9
101992,19011107,-9999,    9
101992,19011108,-9999,    9
101992,19011109,-9999,    9
101992,19011110,-9999,    9
101992,19011111,-9999,    9
101992,19011112,-9999,    9
101992,19011113,-9999,    9
101992,19011114,-9999,    9
101992,19011115,-9999,    9
101992,19011116,-9999,    9
101992,19011117,-9999,    9
101992,19011118,-9999,    9
101992,19011119,-9999,    9
101992,19011120,-9999,    9
101992,19011121,-9999,    9
101992,19011122,-9999,    9
101992,19011123,-9999,    9
101992,19011124,-9999,    9
101992,19011125,-9999,    9
101992,19011126,-9999,    9
101992,19011127,-9999,    9
101992,19011128,-9999,    9
101992,19011129,-9999,    9
101992,19011130,-9999,    9
101992,19011201,-9999,    9
101992,19011202,-9999,    9
101992,19011203,-9999,    9
101992,19011204,-9999,    9
101992,19011205,-9999,    9
101992,19011206,-9999,    9
101992,19011207,-9999,    9
101992,19011208,-9999,    9
101992,19011209,-9999,    9
101992,19011210,-9999,    9
101992,19011211,-9999,    9
101992,19011212,-9999,    9
101992,19011213,-9999,    9
101992,19011214,-9999,    9
101992,19011215,-9999,    9
101992,19011216,-9999,    9
